file	line	construct	what_depends_on_order	deterministic_in_python	go_strategy
src/Kathara/model/Machine.py	67	interfaces: OrderedDict[int, Interface]	eth numbering, MAC/driver-opt wiring, connect order, K8s annotation order - everything downstream	yes (insertion; numerically sorted after check())	Spec 4.1: ordered []Interface sorted by Number; NEVER range a map here
src/Kathara/model/Machine.py	102	number = len(self.interfaces.keys()) in add_interface	auto-assigned iface number = COUNT of existing entries (holes NOT filled, despite docstring saying first-free); numbering of lconfig/vconfig-added ifaces	yes	replicate len-based assignment exactly (count includes None tombstones); do not implement first-free
src/Kathara/model/Machine.py	114	self.interfaces[number]=iface; link.machines[self.name]=machine	Link.machines insertion order = attach order; feeds lconfig/linfo topology DEVICES join	yes (insertion)	ordered map or slice on Link.Machines
src/Kathara/model/Machine.py	136	remove_interface rebuilds OrderedDict mapping removed slot to (num, None)	slot kept as None hole, order preserved; len()-numbering counts holes; later iterations must skip None	yes (map preserves order)	keep slot with nil Interface (do not compact slice); iterate skipping nil
src/Kathara/model/Machine.py	163	meta['exec_commands'].append (add_meta "exec")	startup command execution order inside container	yes (list)	slice, append order preserved
src/Kathara/model/Machine.py	182	meta['sysctls'][key]=... dict insertion, last-wins	sysctl apply order (K8s postStart command sequence; Docker Sysctls map) and duplicate-key override	yes (insertion)	ordered map (slice of pairs + index); preserve last-wins overwrite in place
src/Kathara/model/Machine.py	200	meta['envs'][key]=... dict insertion	container Env list order (Docker inspect Env; K8s pod spec env)	yes (insertion)	ordered map
src/Kathara/model/Machine.py	236	meta['ulimits'][key]=... dict insertion	HostConfig.Ulimits list order in docker inspect (golden-visible)	yes (insertion)	ordered map
src/Kathara/model/Machine.py	261	meta['ports'][(host,proto)]=guest dict insertion	Docker PortBindings (map, normalized by daemon); K8s container ports LIST order in pod spec	yes (insertion)	ordered map; K8s golden compares list order
src/Kathara/model/Machine.py	286	meta['volumes'][abs_path]=... dict insertion	bind-mount order: Docker HostConfig.Binds list; K8s volume0..N index naming	yes (insertion)	ordered map (slice of pairs); index must match iteration position
src/Kathara/model/Machine.py	293	update_meta fixed if-sequence (privileged, exec, mem, ..., volumes)	order metas are applied; exec/port/sysctl/env/ulimit/volume loops iterate caller lists in CLI order	yes (source order + list order)	keep identical statement order and per-list iteration order
src/Kathara/model/Machine.py	367	check(): sorted_keys.sort(); enumerate; OrderedDict(sorted(items))	canonical numeric re-sort of interfaces before deploy; which missing-number error index is reported	yes (sorted)	sort slice by Number; sequential-gap check identical
src/Kathara/model/Machine.py	392	pack_data: copy_fs Walker + fixed 4-file list (startup/shutdown/shared)	tar entry order of device fs files; fixed file list order	fragile (fs listing order unspecified; stable per filesystem)	walk in sorted order; extracted tree identical; do NOT golden-compare raw tar bytes
src/Kathara/model/Machine.py	824	__str__ loops: interfaces.items(), sysctls.items(), ports.items()	library-visible formatted device description	yes (insertion/sorted)	iterate ordered structures in same sequence
src/Kathara/model/Lab.py	65	machines: Dict / links: Dict (plain dicts)	deploy submission order (machines AND networks), sequential boot order, progress display, error selection	yes (insertion = lab.conf first-appearance order)	insertion-ordered collection (slice + name index); root determinism source of the whole port
src/Kathara/model/Lab.py	191	check_integrity: for machine in machines.values()	which device's NonSequentialMachineInterfaceError surfaces first (golden stderr)	yes (insertion)	iterate insertion order
src/Kathara/model/Lab.py	204	get_links_from_machines: set ops + set comprehension result	returned Set used ONLY for membership filtering in deploy_links/undeploy	n/a (membership only)	map[string]struct{} fine; never iterate it for output or deploy order
src/Kathara/model/Lab.py	252	apply_dependencies: OrderedDict(sorted(items, key=dep_sort)) stable sort	sequential boot order under lab.dep; machines not in dep list keep relative order, sort BEFORE listed ones (key 0)	yes (stable sort)	sort.SliceStable with identical key (index+1, 0 if absent)
src/Kathara/model/Lab.py	500	__str__ fixed append order (Name, Description, Version, Author, Email, Web)	lab meta panel text in lstart/linfo	yes (source order)	same order
src/Kathara/model/Link.py	28	machines: Dict[str, Machine]	attach order; joined into lconfig/linfo topology DEVICES column	yes (insertion)	ordered map
src/Kathara/parser/netkit/LabParser.py	43	sequential while-line loop; connect_machine_to_link / assign_meta_to_machine	machine+link first-appearance insertion order; meta application order; duplicate-meta last-wins warning; first syntax error line reported	yes (file line order)	line-by-line parse identical; Layer B vectors assert resulting order
src/Kathara/parser/netkit/DepParser.py	65	dependencies[key]=deps dict insertion	feeds depgen.flatten whose within-level output order derives from dict order -> boot order	yes (insertion = lab.dep line order)	ordered map (slice of pairs)
src/Kathara/parser/netkit/FolderParser.py	26	for machine_folder in glob(path/*/)	machine insertion order for -F/force-lab scenarios -> deploy order + list order	fragile (glob = readdir order, unspecified, stable per fs; NOT hash-random)	Go filepath.Glob sorts: either replicate raw readdir or sort names; sorting is the sane choice - record in DIVERGENCES.md
src/Kathara/parser/netkit/OptionParser.py	23	for option in options; parsed_options[key]=value last-wins	-o/--pass global metadata: later duplicate key overrides earlier (CLI order)	yes (CLI order)	iterate slice in argv order; last-wins map write
src/Kathara/trdparty/depgen/depgen.py	82	flatten: _invert/_order dict iteration + sorted(iorder.keys()) + extend	boot order output: levels sorted numerically, WITHIN-level order derives from dict insertion order chain	yes (insertion-ordered dicts + sorted levels)	port with insertion-ordered maps; a plain Go map range scrambles within-level boot order (wrong but running)
src/Kathara/trdparty/depgen/depgen.py	97	has_loop: for k,v in depdict.items()	boolean result is order-independent	n/a	any order OK
src/Kathara/manager/docker/DockerMachine.py	139	machines = lab.machines.items() + dict-comp filters	deploy submission order; sequential boot order when lab.dep; chunking boundaries; volume-prompt machine order	yes (insertion, dict-comp preserves)	iterate ordered machines slice; filters preserve order
src/Kathara/manager/docker/DockerMachine.py	150	lab_images = set(map(get_image, machines)) -> check_from_list	order of image existence checks / pulls / update prompts (user-visible stderr + prompt sequence)	NO (set of strings, hash-randomized per run)	!! collect into slice, dedupe preserving first occurrence or sort; pass ordered slice to image check
src/Kathara/manager/docker/DockerMachine.py	155	machines_with_volumes = dict(filter(...))	volume confirmation prompt listing order (MountDevicesVolumes)	yes (insertion)	ordered
src/Kathara/manager/docker/DockerMachine.py	178	Pool(pool_size).map over chunks vs sequential loop (L182)	lab.dep: EXACT sequential boot order; else parallel - completion order (progress updates, terminal open, machine_deployed events) nondeterministic	sequential yes; parallel completion NO (inherent, same in Go)	errgroup + bounded semaphore (CONCURRENCY.tsv); preserve submission order; accept completion-order nondeterminism
src/Kathara/manager/docker/DockerMachine.py	229	[Ulimit(...) for k,v in machine.get_ulimits().items()]	HostConfig.Ulimits list order in docker inspect (golden)	yes (insertion)	iterate ordered ulimits
src/Kathara/manager/docker/DockerMachine.py	235	for (host_port, protocol), guest_port in ports_info.items()	ports dict for docker-py; daemon normalizes PortBindings map	yes (insertion)	map OK; goldens compare normalized inspect JSON
src/Kathara/manager/docker/DockerMachine.py	252	if "exec" in global_machine_metadata: add_meta("exec", ...)	CLI-passed exec appended AFTER lab.conf exec commands -> runs last	yes	append after existing exec commands
src/Kathara/manager/docker/DockerMachine.py	295	sysctl_parameters = {**defaults, **machine.meta['sysctls'], **sysctl_first_interface} + dict(filter) L298	MERGE PRECEDENCE: machine sysctls override defaults, first-iface override both; Sysctls map normalized by daemon	yes (merge order semantic, not iteration)	apply merges in same order; plain map OK for API call
src/Kathara/manager/docker/DockerMachine.py	305	volumes dict built shared -> hosthome -> machine volumes (L305,L311,L314)	HostConfig.Binds LIST order in docker inspect (golden-visible); duplicate-target resolution	yes (insertion)	build ordered slice in identical sequence
src/Kathara/manager/docker/DockerMachine.py	322	', '.join(missing_permissions)	PermissionError message text	yes (fixed r,w,x probe order in utils)	fixed slice order
src/Kathara/manager/docker/DockerMachine.py	347	labels dict literal	Docker Labels map (daemon normalizes)	yes	map OK
src/Kathara/manager/docker/DockerMachine.py	441	_get_iface_sysctls builds Set[str]	feeds _create_driver_opt join (next row)	NO (set of strings)	!! return sorted []string
src/Kathara/manager/docker/DockerMachine.py	470	sysctl_opts set + ",".join(sysctl_opts) -> driver_opt["com.docker.network.endpoint.sysctls"]	engine-applied per-endpoint sysctls string; golden-visible in inspect DriverOpts; KNOWN nondeterministic site	NO (set of strings, hash-randomized)	!! build deterministic (insertion or sorted) order; Layer A goldens must split-on-comma + sort before comparing against Python
src/Kathara/manager/docker/DockerMachine.py	525	islice(machine.interfaces.items(), 1, None) connect loop	network connect order eth1..ethN; pairs with first_machine_iface = interfaces[0] KEY lookup at L260; correct only because check() sorted numerically first	yes (numerically sorted post-check)	iterate sorted slice[1:]; connect sequentially ascending Number
src/Kathara/manager/docker/DockerMachine.py	546	"; ".join(STARTUP_COMMANDS) + "; ".join(exec_commands) + echo interleave L539-543	in-container startup execution order (semantic; /var/log/startup.log content golden)	yes (list literals + list order)	identical constant order and interleave
src/Kathara/manager/docker/DockerMachine.py	597	undeploy: list-comp filters over containers + chunked Pool	undeploy progress event order; container order = Docker API list (created desc)	yes (API order); completion NO (inherent)	keep API order for submission; errgroup
src/Kathara/manager/docker/DockerMachine.py	1044	machines_stats dict filled by Pool threads (load_machine_stats); iterated L1061; yielded	dict order -> row order of kathara list / lstart -l table via create_lab_table	NO (thread completion insertion order)	!! collect then sort keys (name) before yielding; record divergence (row order becomes stable)
src/Kathara/manager/docker/DockerMachine.py	1097	"; ".join(SHUTDOWN_COMMANDS)	shutdown command execution order	yes (list literal)	identical order
src/Kathara/manager/docker/DockerImage.py	123	check_from_list: for image in images	image check/pull/update-prompt order; receives the SET from deploy_machines	NO (inherits set iteration)	!! accept ordered slice param; fix producer (DockerMachine L150)
src/Kathara/manager/docker/DockerLink.py	50	links = lab.links.items() + dict-comp filters	network creation submission order + links_deploy progress events	yes (insertion)	ordered links slice; selected/excluded filters preserve order
