file	class_or_func	name	python_type	none_meaning_vs_empty	go_representation
model/Machine.py	Machine.__init__	fs	Optional[fs.FS] (declared FS, assigned None)	None = device directory does not exist in lab fs; lazily created on first file-write via "if not self.fs" in all overridden FilesystemMixin methods. An existing-but-empty dir is NOT None (pack_data checks isempty separately)	nil vfs.FS interface value; lazy-create on write helpers
model/Machine.py	Machine.__init__	api_object	Any = None	None = device not deployed; managers raise MachineNotRunningError on "if not machine.api_object". Never an empty value	untyped `any` nil / per-backend typed pointer, nil = not deployed
model/Machine.py	Machine.__init__	lab	Lab (never None in ctor, but managers check "if not machine.lab")	None = device detached from any scenario -> LabNotFoundError in every manager op	*Lab pointer; nil check -> ErrLabNotFound
model/Machine.py	Machine.add_interface	number	int = None	None = auto-assign len(interfaces); 0 is a valid explicit value distinct from None	*int in AddInterfaceOptions (spec §4.1/§4.2); nil = auto
model/Machine.py	Machine.add_interface	mac_address	str = None	None = MAC auto-derived at deploy (md5 formula in plugin); "" passes Interface validation unchecked, behaves as unset	string; "" = auto-generate (empty MAC never valid)
model/Machine.py	Machine.remove_interface	interfaces values	OrderedDict[int, Optional[Interface]]	Removal TOMBSTONES the slot to None (does NOT delete the key) so later interface numbers keep their position; all iterators (__str__, get_links_from_machines chain) must skip None values	sorted []Interface with Link *Link; Link==nil = tombstoned/detached slot, keep entry to preserve numbering
model/Machine.py	Machine.add_meta	return value	Optional[Any] (signature says None, docstring/usage return old value)	None = meta was not previously set; LabParser warns on overwrite only when return is not None; a previous falsy value (False, 0, "") must still count as "was set"	(prev any, existed bool) or (*T, bool) per field after Meta struct split
model/Machine.py	Machine.meta	privileged/bridged	bool via strtobool, key may be absent	Tri-state: key absent = false AND "not configured" (__str__ prints Bridged line whenever key present, even False; create() re-adds bridged from global meta only when is_bridged() false)	Meta.Bridged *bool, Meta.Privileged *bool (spec §4.2)
model/Machine.py	Machine.meta	ipv6	bool/str, key may be absent	Tri-state: absent = fall back to Setting.enable_ipv6; present False = force off; present True = force on	Meta.IPv6 *bool (spec §4.2)
model/Machine.py	Machine.meta	num_terms	int, key may be absent	Absent = default 1; explicit 0 valid (no terminals; also set on MachineBinaryError)	Meta.NumTerms *int (spec §4.2)
model/Machine.py	Machine.meta	shell	str, key may be absent	Absent = Setting.device_shell; note k8s get_lab_from_api can add_meta("shell", None) when _MEGALOS_SHELL env missing	Meta.Shell string; "" = unset/default
model/Machine.py	Machine.meta	entrypoint/args	str, key may be absent	Absent -> None passed to Docker SDK (no entrypoint/cmd override); args also treated as unset when falsy ("" or [])	Meta.Entrypoint string, Meta.Args []string; ""/nil = unset
model/Machine.py	Machine.get_mem	return	Optional[str]	None = no memory limit (mem_limit=None to Docker); "if memory:" also treats "" as no limit	string; "" = no limit
