# ERROR_CODES.tsv — complete exception taxonomy of Kathara v3.8.3 (kathara-python) for the Go port.
# Paths are relative to kathara-python/src/Kathara/ unless prefixed. "lab-checker:" = /root/kathara/kathara-lab-checker/src/kathara_lab_checker/.
# Message variants within one cell are separated by " || ". Messages are exact f-string/%-format templates from source.
#
# CLI TOP-LEVEL ERROR RENDERING (src/kathara.py):
#   1. Catch-all in KatharaEntryPoint.__init__ around command_object.run(): `except Exception as e:` ->
#      logging.critical(f"({type(e).__name__}) {str(e)}") -> sys.exit(1). If Setting.debug_level == "EXCEPTION",
#      logging.exception(...) with the same "({type}) {msg}" format plus traceback. So the observable stderr line is e.g.
#      "CRITICAL (MachineNotFoundError) Device `pc1` not found." and the process exit code is 1.
#   2. Startup settings check: `except (SettingsError, DockerDaemonConnectionError)` -> same "({type}) {msg}" critical, exit 1.
#   3. Unknown command (ClassNotFoundError from CommandFactory): logging.error(f"Unrecognized command `{args.command}`.") + print_help, exit 1.
#   4. ImportError from CommandFactory: logging.critical(f"({type(e).__name__}) `{e.name}` is not installed in your system"), exit 1.
#   5. KeyboardInterrupt: warning ("You interrupted Kathara during a command...`kathara wipe`." unless command in [exec, linfo, list, settings]), exit 0.
#   6. argparse.ArgumentTypeError / argparse usage errors: argparse prints usage+error to stderr, exit 2.
#   7. No/invalid command: print_help, exit 1. --version: print version, exit 0. `exec` returns the remote command's exit code; `check` returns 1 on failed self-test.
#   In the Go port (spec §5.1/§5.3): human mode reproduces "({Code}) {msg}" on stderr; json mode emits {"error":{"code":...,"message":...}} on stdout, exit non-zero.
#
# exit_code_observed legend: 1 = escapes to kathara.py catch-all (exit 1); 2 = argparse; 0 = KeyboardInterrupt path; "-" = never escapes to CLI (caught/internal).
python_exception	parent_class	message_format	raised_in	caught_in	stable_code	go_error_kind	exit_code_observed
ClassNotFoundError	Exception	(no message; raised bare)	foundation/factory/Factory.py:24	src/kathara.py (unknown command -> "Unrecognized command `{args.command}`." + help)	ClassNotFound	n/a-internal (Go: cobra unknown-command handling; no dynamic class loading)	1
HTTPConnectionError	Exception	{str(e)} || Docker Hub replied with status code {response.status_code}. || Error while retrieving tags for image `{image_name}`. Docker Hub replied with status code {response.status_code}. || GitHub replied with status code %s. (% result.status_code)	webhooks/DockerHubApi.py:34,36,40,70,72,79; webhooks/GitHubApi.py:19,21,25 (DEFERRED: webhooks/ replaced post-1.0)	cli/ui/setting/CommonOptionsHandler.py:69 (swallow, fallback image list); setting/Setting.py:207 (swallow, skip online image check)	HTTPConnection	sentinel ErrHTTPConnection (DEFERRED; only needed if image-tag lookup is kept)	- (always caught in 3.8.3 flows; would be 1 if escaped)
InstantiationError	Exception	This class is a singleton!	auth/PrivilegeHandler.py:23 (DEFERRED module); event/EventDispatcher.py:31; foundation/cli/CliArgs.py:22; manager/Kathara.py:41; setting/Setting.py:65	-	Instantiation	n/a-internal (Go has no singleton guard; drop)	1 (programmer error only)
InvocationError	Exception	You can either specify `selected_machines` or `excluded_machines`. || You can either specify `selected_links` or `excluded_links`. || You can either select or exclude devices. || You must specify a running network scenario hash or name. || You must specify a device name or object. || You must specify only a parameter among {', '.join(kwargs.keys())} || You must specify a parameter among {', '.join(kwargs.keys())} || There is no filesystem associated to this object. || Cannot create a file if the filesystem is not set. || `add` called without a MenuFactory set.	manager/docker/DockerMachine.py:137,594; manager/docker/DockerLink.py:48; manager/docker/DockerManager.py:147,342,693; manager/kubernetes/KubernetesMachine.py:161,587; manager/kubernetes/KubernetesLink.py:57; manager/kubernetes/KubernetesManager.py:107,288,685; model/Lab.py:326; utils.py:114,121,123; foundation/model/FilesystemMixin.py:56,79,99,122,142,166,194,218,256,293; foundation/cli/ui/setting/OptionsHandler.py:17	-	Invocation	sentinel ErrInvocation, wrapped with call-site message (API misuse; Python client re-raises)	1
SettingsError	Exception	Settings file is not valid: {message} Fix it or delete it before launching. (wrapper) — inner {message} variants: Not a valid JSON. || Networks Prefix must only contain lowercase letters and underscore. || Device Prefix must only contain lowercase letters and underscore. || Debug Level must be one of the following: %s. (% ", ".join(AVAILABLE_DEBUG_LEVELS)) || Manager Type not allowed. || Terminal Emulator `%s` not valid! Install it before using it. (% terminal)	setting/Setting.py:111,218,223,226,241,294	src/kathara.py (startup check -> critical + exit 1; __main__ fallback debug_level="DEBUG"); cli/ui/setting/utils.py:70 (settings menu: show error, re-prompt); validator/TerminalValidator.py:13 (returns False)	Settings	struct SettingsError{Reason string} whose Error() emits the "Settings file is not valid: ... Fix it or delete it before launching." wrapper	1
SettingsNotFoundError	Exception	Settings file not found in path `{path}`.	setting/Setting.py:104	src/kathara.py __main__ (creates default settings and continues)	SettingsNotFound	sentinel ErrSettingsNotFound (wraps fs.ErrNotExist; path in wrap)	- (auto-healed at startup; 1 if raised via API with explicit path)
DockerDaemonConnectionError	Exception	Cannot connect to Docker Daemon, this may indicate that it is not running. {message} — {message} is str(e) of RequestsConnectionError / pywintypes.error / DockerException	manager/docker/DockerManager.py:50,52,73	src/kathara.py (startup check -> critical + exit 1)	DockerDaemonConnection	sentinel ErrDaemonConnection (spec §4.3 name), wrapped with underlying docker client error	1
NotSupportedError	Exception	Not Supported: {message} (wrapper) — inner: Unable to update a running device. || Unable to update a running network scenario.	manager/kubernetes/KubernetesManager.py:161,177,747	-	NotSupported	sentinel ErrNotSupported wrapped with operation msg (also basis for spec §5.3 FeatureNotAvailable on deferred features)	1
PrivilegeError	Exception	You must be root in order to show all Kathara devices of all users. || You must be root in order to use lab.ext file. || You must be root in order to start Kathara devices in privileged mode. || You must be root in order to start this Kathara device in privileged mode. || You must be root in order to wipe all Kathara devices of all users. || You must be root to get networks statistics of all users. || You must be root to get devices statistics of all users. || You must be root in order to use external collision domains. || You must be root in order to start device `{machine.name}` in privileged mode.	cli/command/ListCommand.py:58; cli/command/LstartCommand.py:203 (lab.ext DEFERRED),222; cli/command/VstartCommand.py:219; cli/command/WipeCommand.py:66; manager/docker/DockerLink.py:268,337,372 (337/372: external CD, DEFERRED); manager/docker/DockerMachine.py:329,1038	-	Privilege	sentinel ErrPrivilege, wrapped with site message	1
InterfaceNotFoundError	Exception	Interface `{full_interface_name}` not found on the host machine.	os/Networking.py:38 (DEFERRED: os/Networking.py out of scope)	-	InterfaceNotFound	sentinel (DEFERRED; only raiser is deferred module — reserve the code)	1
HostArchitectureError	Exception	Not implemented for host architecture `{architecture}`.	utils.py:412 (get_architecture, used by image arch check)	-	HostArchitecture	sentinel ErrHostArchitecture wrapped with arch string	1
LabAlreadyExistsError	Exception	Previous network scenario execution is still terminating. Please wait.	manager/kubernetes/KubernetesManager.py:143 (namespace create conflict)	-	LabAlreadyExists	sentinel ErrLabAlreadyExists	1
LabNotFoundError	Exception	Device `%s` is not associated to a network scenario. (both %-style and f-string variants) || Machine `%s` is not associated to a network scenario. || Collision domain `%s` is not associated to a network scenario. (both styles) || Link `{link.name}` is not associated to a network scenario.	manager/docker/DockerManager.py:99,120,196,206,246,256,284,306,433,504,930,1022; manager/kubernetes/KubernetesManager.py:54,78,193,237,431,502,836,926	-	LabNotFound	sentinel ErrLabNotFound (spec §4.3)	1
EmptyLabError	Exception	No devices in the current network scenario.	cli/command/LstartCommand.py:185	-	EmptyLab	sentinel ErrEmptyLab	1
MachineDependencyError	Exception	Machines' dependency loop in lab.dep file.	parser/netkit/DepParser.py:73	-	MachineDependency	sentinel ErrDependencyLoop (spec §4.3 name; stable code stays MachineDependency for 1:1 class mapping)	1
MountDeniedError	Exception	Host drive is not shared with Docker. || Device `{self.name}` cannot mount volumes. (per shared_mount policy)	manager/docker/DockerMachine.py:515; model/Machine.py:597	manager/docker/DockerMachine.py:324 (-> warning "Volumes of device `{machine.name}` will not be mounted.", continue); manager/kubernetes/KubernetesMachine.py:406 (same)	MountDenied	sentinel ErrMountDenied	1 (DockerMachine:515 escapes; Machine.py:597 path is always caught)
MachineAlreadyExistsError	Exception	Device with name `{machine_name}` already exists.	model/Lab.py:287 (new_machine); manager/docker/DockerMachine.py:224; manager/kubernetes/KubernetesMachine.py:368	-	MachineAlreadyExists	sentinel ErrMachineAlreadyExists via *MachineError{Machine,Op} wrap (spec §4.3/§5.3; "machine" field in JSON error)	1
NonSequentialMachineInterfaceError	Exception	Interface `{iface_num}` missing on device `{machine_name}`.	model/Machine.py:375 (check() before deploy)	-	NonSequentialMachineInterface	struct {Iface int; Machine string} (needs both fields for message/JSON)	1
MachineOptionError	Exception	Invalid sysctl value (`%s`) on `%s`, missing `=` or value not in `net.` namespace. || Invalid env value (`%s`) on `%s`. || Invalid ulimit value (`{value}`) on `{name}`. Values must be >= -1. || Invalid ulimit value (`{value}`) on `{name}`. Soft limit (-1) cannot be greater than hard limit ({hard}). || Invalid ulimit value (`{value}`) on `{name}`. || Port protocol value not valid on `%s`. || Port value not valid on `%s`. || The volume specified `{value}` is not in a valid format: <host_path>|<guest_path>|[<mode>] || Invalid volume mode `{mode}` on `{host_path}` mount. Allowed values are {', '.join(ALLOWED_VOLUME_MODES)}.  || Memory value not valid on `%s`. || CPU value not valid on `%s`. || Terminals Number value on `%s` must be a positive value or zero. || Terminals Number value not valid on `%s`. || IPv6 value not valid on `%s`.	model/Machine.py:184,202,221,224,238,254,263,274,279,504,509,532,537,569,571,618	-	MachineOption	sentinel ErrMachineOption wrapped with machine+option+value context (in Go most become labfile parse-time errors per spec §4.2 one-parse rule)	1
MachineCollisionDomainError	Exception	Interface {number} already set on device `{self.name}`. || Device `{self.name}` is already connected to collision domain `{link.name}`. || Device `{machine.name}` is already connected to collision domain `{link.name}`. || Device `{self.name}` is not connected to collision domain `{link.name}`. || Device `{machine.name}` is not connected to collision domain `{link.name}`.	model/Machine.py:106,109,132; manager/docker/DockerManager.py:209,259	lab-checker:__main__.py:83 (lab.conf load -> print error, exit)	MachineCollisionDomain	sentinel ErrMachineCollisionDomain wrapped with machine+link (LAB-CHECKER CONTRACT: caught by name)	1
