file	line	mechanism	pool_size	what_is_parallelized	error_semantics_observed	ordering_of_results_matters	go_strategy
src/Kathara/utils.py	94	helper: list_chunks generator	n/a	splits a list into chunks of `size` via islice; consumed by all Pool sites	n/a (pure function; StopIteration internal)	yes (preserves input order within/across chunks)	trivial slice loop or drop entirely — Go errgroup.SetLimit replaces chunking
src/Kathara/utils.py	102	helper: chunk_list	n/a	wraps list_chunks; QUIRK: if len(iterable) < size returns [iterable] (single chunk containing the ORIGINAL iterable, e.g. dict_items), else a generator of size-`size` lists	n/a	yes (order preserved)	not needed in Go; if mirrored, note the single-chunk-when-small quirk is behaviorally identical to chunking
src/Kathara/utils.py	106	helper: get_pool_size = multiprocessing.cpu_count()	cpu_count()	defines pool size AND chunk size for every Pool site (so each map call submits <= cpu_count items; chunks are processed with a full barrier between them)	n/a	n/a	runtime.NumCPU() as errgroup/semaphore limit; the per-chunk barrier is an artifact, not a semantic requirement — drop it
src/Kathara/manager/docker/DockerMachine.py	178	multiprocessing.dummy.Pool (THREAD pool) + map, chunked loop	cpu_count()	deploy_machines fast path (no lab.dep): _deploy_and_start_machine per (name,Machine) = create container + start + dispatch "machine_deployed" event from WORKER thread	complete-chunk-then-raise-first-arriving: map waits for ALL tasks of the chunk (no cancellation of siblings), then raises the FIRST exception that arrived (completion order, not input order); sibling exceptions swallowed; remaining chunks never submitted; with-block calls Pool.terminate() on exception exit (harmless, chunk already drained). MachineAlreadyExistsError/APIError from create() propagate this way to caller	no (map results discarded; side effects on Machine.api_object per item)	errgroup.Group with SetLimit(NumCPU); workers do NOT observe ctx cancellation (run each started deploy to completion) so semantics match complete-then-first-error; EventDispatcher equivalent must be mutex-safe (events fire on worker goroutines)
src/Kathara/manager/docker/DockerMachine.py	182	sequential for-loop (lab.dep path)	1	deploy_machines when lab.has_dependencies: _deploy_and_start_machine per machine IN dep order (lab.machines OrderedDict already sorted by Lab.apply_dependencies)	first-error-aborts-immediately (plain loop; exception propagates, remaining machines not deployed)	YES — dependency order is the whole point; machines absent from lab.dep run FIRST (sort key 0, stable), then flatten() order	sequential loop over the dep-ordered slice; no parallel dependency scheduler (Python never had one — do not "improve" to a DAG executor)
src/Kathara/manager/docker/DockerMachine.py	608	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	undeploy: _undeploy_machine per container (delete container + dispatch "machine_undeployed" from worker thread)	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted; events "machines_undeploy_started/ended" dispatched on caller thread around the pool	no (results discarded)	errgroup + SetLimit(NumCPU); consider collecting all errors but raising first to stay faithful
src/Kathara/manager/docker/DockerMachine.py	628	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	wipe: _undeploy_machine per container of a user (or all)	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted	no	errgroup + SetLimit(NumCPU)
src/Kathara/manager/docker/DockerMachine.py	1056	multiprocessing.dummy.Pool + map inside while-True generator	cpu_count()	get_machines_stats: load_machine_stats mutates shared dict machines_stats (GIL-safe dict insert) per container, each generator step	complete-chunk-then-raise-first-arriving out of the generator on next(); workers only raise on DockerMachineStats construction failure; shared-dict mutation relies on GIL	no (dict keyed by name)	DEFERRED (resource-stats sampling is deferred/replaced); if ported: mutex-guarded map or collect results, no generator
src/Kathara/manager/docker/DockerLink.py	66	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	deploy_links: _deploy_link per (name,Link) = create Docker network (skips BRIDGE_LINK_NAME) + dispatch "link_deployed" from worker thread	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted; OSError/PrivilegeError from external-interface attach propagate this way	no (results discarded; Link.api_object set per item)	errgroup + SetLimit(NumCPU)
src/Kathara/manager/docker/DockerLink.py	178	multiprocessing.dummy.Pool + map, chunked loop	cpu_count()	undeploy: _undeploy_link per Docker network (only networks with 0 attached containers, pre-filtered after reload())	complete-chunk-then-raise-first-arriving; sibling errors swallowed; remaining chunks not submitted	no	errgroup + SetLimit(NumCPU)
